"id","active","name","bic","street","city","state/id","country/id","phone"
"res_bank_1","TRUE","Banco Angolano de Investimentos SA","BAIPAOLU","","","","base.ao",""
"res_bank_2","TRUE","Banco Angolano de Negócios e Comércio SA","ANCEAOLU","","","","base.ao",""
"res_bank_3","TRUE","Banco BAI Microfinanças SA","NOSAAOLU","","","","base.ao",""
"res_bank_4","TRUE","Banco BIC SA","BCCBAOLU","","","","base.ao",""
"res_bank_5","TRUE","Banco Caixa Geral Totta de Angola SA","BCGAAOLU","","","","base.ao",""
"res_bank_6","TRUE","Banco Comercial Angolano SA","COMLAOLU","","","","base.ao",""
"res_bank_7","TRUE","Banco Comercial do Humbo SA","BCHUAOLU","","","","base.ao",""
"res_bank_8","TRUE","Banco de Comércio e Indústria SA","BCIDAOLU","","","","base.ao",""
"res_bank_9","TRUE","Banco de Desenvolvimento de Angola SA","BDAAAOLU","","","","base.ao",""
"res_bank_10","TRUE","Banco de Fomento Angola SARL","BFMXAOLU","","","","base.ao",""
"res_bank_11","TRUE","Banco de Negócios Internacional SA","BNICAOLU","","","","base.ao",""
"res_bank_12","TRUE","Banco de Poupança e Crédito SA","BPCLAOLU","","","","base.ao",""
"res_bank_13","TRUE","Banco Económico SA","BESCAOLU","","","","base.ao",""
"res_bank_14","TRUE","Banco Kwanza Invest SA","BKIAAOLU","","","","base.ao",""
"res_bank_15","TRUE","Banco de Investimento Rural SA","BIRVAOLU","","","","base.ao",""
"res_bank_16","TRUE","Banco Millenium Atlântico SA","PRTLAOLU","","","","base.ao",""
"res_bank_17","TRUE","Banco Prestígio SA","PRTSAOLU","","","","base.ao",""
"res_bank_18","TRUE","Banco Postal SA","POTAAOLU","","","","base.ao",""
"res_bank_19","TRUE","Banco Pungo Andongo SA","PUADAOLU","","","","base.ao",""
"res_bank_20","TRUE","Banco Regional do Keve SARL","BRDKAOLU","","","","base.ao",""
"res_bank_21","TRUE","Banco Sol SARL","SOLOAOLU","","","","base.ao",""
"res_bank_22","TRUE","Banco Valor SA","BVBXAOLU","","","","base.ao",""
"res_bank_23","TRUE","Banco VTB Africa SA","VTBLAOLU","","","","base.ao",""
"res_bank_24","TRUE","Banco YETU SA","YETUAOLU","","","","base.ao",""
"res_bank_25","TRUE","Bank of China Limited Luanda Branch","BKCHAOLU","","","","base.ao",""
"res_bank_26","TRUE","Credisul – Banco de Crédito do Sul SA","CDTSAOLU","","","","base.ao",""
"res_bank_27","TRUE","Finibanco Angola SA","FBCOAOLU","","","","base.ao",""
"res_bank_28","TRUE","Standard Bank de Angola SA","SBICAOLU","","","","base.ao",""
"res_bank_29","TRUE","Standard Chartered Bank Angola SA","SCBLAOLU","","","","base.ao",""
"res_bank_30","TRUE","Banco Nacional de Angola","BNANAOLU","","","","base.ao",""
