id,code,group_id,name,account_type,reconcile,name@ao
ao_32121001,32121001,group_ao_32121,Fornecedores Gerais,liability_payable,True,Fornecedores Gerais
ao_32121002,32121002,group_ao_32121,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32121003,32121003,group_ao_32121,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32121004,32121004,group_ao_32121,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32121005,32121005,group_ao_32121,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32122001,32122001,group_ao_32122,Fornecedores Gerais,liability_payable,True,Fornecedores Gerais
ao_32122002,32122002,group_ao_32122,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32122003,32122003,group_ao_32122,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_32122004,32122004,group_ao_32122,Fornecedor …..,liability_payable,True,Fornecedor …..
ao_33211,33211,group_ao_3321,Entidade,liability_non_current,False,Entidade
ao_33221,33221,group_ao_3322,Entidade,liability_non_current,False,Entidade
ao_3331,3331,group_ao_333,Entidade,liability_non_current,False,Entidade
ao_3391,3391,group_ao_339,Entidade,liability_non_current,False,Entidade
ao_3211001,3211001,group_ao_3211,Subsidiárias,liability_current,False,Subsidiárias
ao_3211002,3211002,group_ao_3211,Associadas,liability_current,False,Associadas
ao_32211,32211,group_ao_3221,Subsidiárias,liability_current,False,Subsidiárias
ao_32212,32212,group_ao_3221,Associadas,liability_current,False,Associadas
ao_32221,32221,group_ao_3222,Nacionais,liability_current,False,Nacionais
ao_32222,32222,group_ao_3222,Estrangeiros,liability_current,False,Estrangeiros
ao_3281,3281,group_ao_328,Facturas em recepção e conferência,liability_current,False,Facturas em recepção e conferência
ao_3291,3291,group_ao_329,Adiantamentos,liability_current,False,Adiantamentos
ao_3292,3292,group_ao_329,Embalagens a devolver,liability_current,False,Embalagens a devolver
ao_3293,3293,group_ao_329,Material a consignação,liability_current,False,Material a consignação
ao_33111,33111,group_ao_3311,Banco .....,liability_current,False,Banco .....
ao_33112,33112,group_ao_3311,Banco .....,liability_current,False,Banco .....
ao_33121,33121,group_ao_3312,Banco .....,liability_current,False,Banco .....
ao_33122,33122,group_ao_3312,Banco .....,liability_current,False,Banco .....
ao_3411,3411,group_ao_341,IL- imposto corrente,liability_current,False,IL- imposto corrente
ao_3412,3412,group_ao_341,IL- pagamentos por conta,liability_current,False,IL- pagamentos por conta
ao_3413,3413,group_ao_341,IL- retenção na fonte,liability_current,False,IL- retenção na fonte
ao_3414,3415,group_ao_341,IL - apuramento,liability_current,False,IL - apuramento
ao_3415,3416,group_ao_341,IL - apagar,liability_current,False,IL - apagar
ao_3416,3417,group_ao_341,IL - a recuperar,liability_current,False,IL - a recuperar
ao_3421,3421,group_ao_342,........................................,liability_current,False,........................................
ao_3431,3431,group_ao_343,Trabalhadores dependentes,liability_current,False,Trabalhadores dependentes
ao_3432,3432,group_ao_343,Retenção Lei 7/97,liability_current,False,Retenção Lei 7/97
ao_3441,3441,group_ao_344,........................................,liability_current,False,........................................
ao_34511,34511,group_ao_3451,Existências,liability_current,False,Existências
ao_34512,34512,group_ao_3451,Meios Fixos e Investimentos,liability_current,False,Meios Fixos e Investimentos
ao_34513,34513,group_ao_3451,Outros Bens e Serviços,liability_current,False,Outros Bens e Serviços
ao_34521111,34521111,group_ao_3452111,IVA - Ded. Exist. - M. Int. - 14%,liability_current,False,IVA - Ded. Exist. - M. Int. - 14%
ao_34521112,34521112,group_ao_3452111,IVA - Ded. Exist. - M. Int. IVA Cativo - 14%,liability_current,False,IVA - Ded. Exist. - M. Int. IVA Cativo - 14%
ao_34521121,34521121,group_ao_3452112,IVA - Ded. Exist. - M.Externo - 14%,liability_current,False,IVA - Ded. Exist. - M.Externo - 14%
ao_34521211,34521211,group_ao_3452121,IVA - Ded. Exist. - M. Int. - 1%,liability_current,False,IVA - Ded. Exist. - M. Int. - 1%
ao_34521311,34521311,group_ao_3452131,IVA - Ded. Exist. - M. Int. - 5%,liability_current,False,IVA - Ded. Exist. - M. Int. - 5%
ao_34521411,34521411,group_ao_3452141,IVA - Ded. Exist. - M. Int. - 7%,liability_current,False,IVA - Ded. Exist. - M. Int. - 7%
