"id","code_prefix_start","code_prefix_end","name","name@ao"
"group_ao_0","0","0","PLANO DE CONTAS ANGOLA (PGCA)","PLANO DE CONTAS ANGOLA (PGCA)"
"group_ao_1","1","1","MEIOS FIXOS E INVESTIMENTOS","MEIOS FIXOS E INVESTIMENTOS"
"group_ao_11","11","11","IMOBILIZACOES CORPOREAS","IMOBILIZACOES CORPOREAS"
"group_ao_111","111","111","Terrenos e recursos naturais","Terrenos e recursos naturais"
"group_ao_112","112","112","Edifícios e outras construções","Edifícios e outras construções"
"group_ao_113","113","113","Equipamento básico","Equipamento básico"
"group_ao_114","114","114","Equipamentos de carga e transporte","Equipamentos de carga e transporte"
"group_ao_115","115","115","Equipamento administrativo","Equipamento administrativo"
"group_ao_116","116","116","Taras e vasilhame","Taras e vasilhame"
"group_ao_119","119","119","Outras imobilizações corpóreas","Outras imobilizações corpóreas"
"group_ao_12","12","12","IMOBILIZACOES INCORPOREAS","IMOBILIZACOES INCORPOREAS"
"group_ao_121","121","121","Trespasses","Trespasses"
"group_ao_122","122","122","Despesas de investigação e desenvolvimento","Despesas de investigação e desenvolvimento"
"group_ao_123","123","123","Propriedade industrial e outros direitos e contratos","Propriedade industrial e outros direitos e contratos"
"group_ao_124","124","124","Despesas de constituição","Despesas de constituição"
"group_ao_129","129","129","Outras imobilizações incorpóreas","Outras imobilizações incorpóreas"
"group_ao_13","13","13","INVESTIMENTOS FINANCEIROS","INVESTIMENTOS FINANCEIROS"
"group_ao_131","131","131","Empresas subsidiárias","Empresas subsidiárias"
"group_ao_132","132","132","Empresas associadas","Empresas associadas"
"group_ao_133","133","133","Outras empresas","Outras empresas"
"group_ao_134","134","134","Investimentos em imóveis","Investimentos em imóveis"
"group_ao_135","135","135","Fundos","Fundos"
"group_ao_139","139","139","Outros investimentos financeiros","Outros investimentos financeiros"
"group_ao_14","14","14","IMOBILIZACOES EM CURSO","IMOBILIZACOES EM CURSO"
"group_ao_141","141","141","Obra em curso...","Obra em curso..."
"group_ao_142","142","142","Obra em curso","Obra em curso"
"group_ao_147","147","147","Adiantamentos por conta de imobilizado corpóreo","Adiantamentos por conta de imobilizado corpóreo"
"group_ao_148","148","148","Adiantamento por conta de imobilizado incorpóreo","Adiantamento por conta de imobilizado incorpóreo"
"group_ao_149","149","149","Adiantamentos por conta de investimentos financeiros","Adiantamentos por conta de investimentos financeiros"
"group_ao_18","18","18","AMORTIZACOES ACUMULADAS","AMORTIZACOES ACUMULADAS"
"group_ao_181","181","181","Imobilizações corpóreas","Imobilizações corpóreas"
"group_ao_182","182","182","Imobilizações incorpóreas","Imobilizações incorpóreas"
"group_ao_183","183","183","Investimentos financeiros em imóveis","Investimentos financeiros em imóveis"
"group_ao_19","19","19","PROVISOES PARA INVESTIMENTOS FINANCEIROS","PROVISOES PARA INVESTIMENTOS FINANCEIROS"
"group_ao_191","191","191","Empresas subsidiárias","Empresas subsidiárias"
"group_ao_192","192","192","Empresas associadas","Empresas associadas"
"group_ao_193","193","193","Outras empresas","Outras empresas"
"group_ao_194","194","194","Fundos","Fundos"
"group_ao_199","199","199","Outros investimentos financeiros","Outros investimentos financeiros"
"group_ao_2","2","2","EXISTENCIAS","EXISTENCIAS"
"group_ao_21","21","21","COMPRAS","COMPRAS"
"group_ao_211","211","211","Matérias-primas, subsidiárias e de consumo","Matérias-primas, subsidiárias e de consumo"
"group_ao_2111","2111","2111","Matérias-primas","Matérias-primas"
"group_ao_21111","21111","21111","Mp.-Mercado Nacional","Mp.-Mercado Nacional"
"group_ao_21112","21112","21112","Mp.-Mercado Estrangeiro","Mp.-Mercado Estrangeiro"
"group_ao_2112","2112","2112","Matérias subsidiárias","Matérias subsidiárias"
"group_ao_21121","21121","21121","Ms.-Mercado Nacional","Ms.-Mercado Nacional"
"group_ao_21122","21122","21122","Ms.-Mercado Estrangeiro","Ms.-Mercado Estrangeiro"
"group_ao_2113","2113","2113","Materiais diversos","Materiais diversos"
"group_ao_21131","21131","21131","Md.-Mercado Nacional","Md.-Mercado Nacional"
"group_ao_21132","21132","21132","Md.-Mercado Estrangeiro","Md.-Mercado Estrangeiro"
"group_ao_2114","2114","2114","Embalagens de consumo","Embalagens de consumo"
"group_ao_21141","21141","21141","Ec.-Mercado Nacional","Ec.-Mercado Nacional"
"group_ao_21142","21142","21142","Ec.Mercado estrangeiro","Ec.Mercado estrangeiro"
"group_ao_2115","2115","2115","Outros materiais","Outros materiais"
"group_ao_21151","21151","21151","Om.-Mercado Nacional","Om.-Mercado Nacional"
"group_ao_21152","21152","21152","Om.-Mercado Estrangeiro","Om.-Mercado Estrangeiro"
"group_ao_212","212","212","Mercadorias","Mercadorias"
"group_ao_2121","2121","2121","Mercadorias","Mercadorias"
"group_ao_21211","21211","21211","Mr.-Mercado Nacional","Mr.-Mercado Nacional"
"group_ao_21212","21212","21212","Mr.-Mercado Estrangeiro","Mr.-Mercado Estrangeiro"
"group_ao_214","214","214","Embalagens","Embalagens"
"group_ao_2141","2141","2141","Embalagens","Embalagens"
"group_ao_21411","21411","21411","Em.-Mercado Nacional","Em.-Mercado Nacional"
"group_ao_21412","21412","21412","Em.-Mercado estrangeiro","Em.-Mercado estrangeiro"
"group_ao_217","217","217","Devoluções de compras","Devoluções de compras"
"group_ao_2171","2171","2171","Materias-primas, súbs.e de consumo","Materias-primas, súbs.e de consumo"
"group_ao_21711","21711","21711","Matérias primas","Matérias primas"
"group_ao_21712","21712","21712","Matérias subsídiárias","Matérias subsídiárias"
"group_ao_21713","21713","21713","Materiais diversos","Materiais diversos"
"group_ao_21714","21714","21714","Embalagens de consumo","Embalagens de consumo"
"group_ao_21715","21715","21715","Outros materiais","Outros materiais"
"group_ao_2172","2172","2172","Mercadorias","Mercadorias"
"group_ao_21721","21721","21721","Mercadorias","Mercadorias"
"group_ao_21722","21722","21722","Embalagens","Embalagens"
"group_ao_218","218","218","Descontos e abatimentos em compras","Descontos e abatimentos em compras"
"group_ao_2181","2181","2181","Materias-primas, súbs.e de consumo","Materias-primas, súbs.e de consumo"
"group_ao_21811","21811","21811","Matérias primas","Matérias primas"
