id,name,description,invoice_label,amount,amount_type,sequence,type_tax_use,tax_scope,include_base_amount,tax_group_id,price_include,active,tax_exigibility,cash_basis_transition_account_id,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,repartition_line_ids/tag_ids,tax_type,tax_country_region,saft_tax_type,saft_tax_code,is_saft_included,saft_tax_description,description@ao
iva_isento,Isento (IVA),Isento de IVA - Vendas,0%,0,percent,1,sale,,0,tax_group_iva_isento,0,1,,,100,base,invoice,,,iva,AO,IVA,ISE,1,Isento de IVA - Vendas,Isento (IVA)
,,,,,,,,,,,,,,,100,tax,invoice,,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,,,,,,,,,
iva_sale_especial_bens,IVA 1% (Bens/Exist.),IVA Regime Especial Cabinda 1% - Vendas,1%,1,percent,2,sale,,0,tax_group_iva_especial_2,0,1,,,100,base,invoice,,,iva,CAB,IVA,RED,1,IVA Regime Especial Cabinda 1% - Vendas,IVA 1% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311411,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311411,,,,,,,,
iva_sale_reduzido5,IVA 5% (Bens/Exist.),IVA Taxa Reduzida 5% - Vendas,5%,5,percent,3,sale,,0,tax_group_iva_reduzido_5,0,1,,,100,base,invoice,,,iva,AO,IVA,RED,1,IVA Taxa Reduzida 5% - Vendas,IVA 5% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311211,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311211,,,,,,,,
iva_sale_reduzido7_bens,IVA 7% (Bens/Exist.),IVA Taxa Intermédia 7% - Vendas,7%,7,percent,4,sale,,0,tax_group_iva_reduzido_7,0,1,,,100,base,invoice,,,iva,AO,IVA,INT,1,IVA Taxa Intermédia 7% - Vendas,IVA 7% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311311,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311311,,,,,,,,
iva_bens_sales,IVA 14% (Bens/Exist.),IVA Taxa Normal 14% - Bens,14%,14,percent,5,sale,,0,tax_group_iva_vendas14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Bens,IVA 14% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311111,,,,,,,,
iva_serv_sales,IVA 14% (Serv.),IVA Taxa Normal 14% - Serviços,14%,14,percent,6,sale,,0,tax_group_iva_vendas14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Serviços,IVA 14% (Serv.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345312111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345312111,,,,,,,,
iva_adiant_sales,IVA 14% (Adiant.),IVA Taxa Normal 14% - Adiantamentos,14%,14,percent,7,sale,,0,tax_group_iva_vendas14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Adiantamentos,IVA 14% (Adiant.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345313111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345313111,,,,,,,,
iva_isento_compras,Isento (IVA),Isento de IVA - Compras,0%,0,percent,8,purchase,,0,tax_group_iva_isento,0,1,,,100,base,invoice,,,iva,AO,IVA,ISE,1,Isento de IVA - Compras,Isento (IVA)
,,,,,,,,,,,,,,,100,tax,invoice,,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,,,,,,,,,
iva_purchase_especial_bens,IVA 1% C.(Bens/Exist.),IVA Regime Especial Cabinda 1% - Compras,1%,1,percent,9,purchase,,0,tax_group_iva_especial_2_compras,0,1,,,100,base,invoice,,,iva,CAB,IVA,RED,1,IVA Regime Especial Cabinda 1% - Compras,IVA 1% C.(Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34521211,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34521211,,,,,,,,
iva_purchase_reduzido5,IVA 5% C.(Bens/Exist.),IVA Taxa Reduzida 5% - Compras,5%,5,percent,10,purchase,,0,tax_group_iva_reduzido_5_compras,0,1,,,100,base,invoice,,,iva,AO,IVA,RED,1,IVA Taxa Reduzida 5% - Compras,IVA 5% C.(Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34521311,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34521311,,,,,,,,
iva_purchase_reduzido7,IVA 7% C.(Bens/Exist.),IVA Taxa Intermédia 7% - Compras,7%,7,percent,11,purchase,,0,tax_group_iva_reduzido_7_compras,0,1,,,100,base,invoice,,,iva,AO,IVA,INT,1,IVA Taxa Intermédia 7% - Compras,IVA 7% C.(Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34521411,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34521411,,,,,,,,
iva_bens_purchase,IVA 14% C.(Bens/Exist.),IVA Taxa Normal 14% - Compras/Bens,14%,14,percent,12,purchase,,0,tax_group_iva_compras14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Compras/Bens,IVA 14% C.(Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34521111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34521111,,,,,,,,
iva_mfi_purchase,IVA 14% C.(MFI),IVA Taxa Normal 14% - Compras/Meios Fixos e Invest.,14%,14,percent,13,purchase,,0,tax_group_iva_compras14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Compras/Meios Fixos e Invest.,IVA 14% C.(MFI)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34522111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34522111,,,,,,,,
iva_obs_purchase,IVA 14% C.(OBS),IVA Taxa Normal 14% - Compras/Outros Bens e Serv.,14%,14,percent,14,purchase,,0,tax_group_iva_compras14,0,1,,,100,base,invoice,,,iva,AO,IVA,NOR,1,IVA Taxa Normal 14% - Compras/Outros Bens e Serv.,IVA 14% C.(OBS)
,,,,,,,,,,,,,,,100,tax,invoice,ao_34523111,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_34523111,,,,,,,,
cativo_50_sales_bens,Cativo 50% (Bens/Exist.),IVA Cativo 50% - Bens,7%(-),-7,percent,15,sale,,0,tax_group_cativo_vendas50,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 50% - Bens,Cativo 50% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311112,,,,,,,,
cativo_100_sales_bens,Cativo 100% (Bens/Exist.),IVA Cativo 100% - Bens,14%(-),-14,percent,16,sale,,0,tax_group_cativo_vendas100,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 100% - Bens,Cativo 100% (Bens/Exist.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345311112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345311112,,,,,,,,
cativo_50_sales_serv,Cativo 50% (Serv.),IVA Cativo 50% - Serviços,7%(-),-7,percent,17,sale,,0,tax_group_cativo_vendas50,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 50% - Serviços,Cativo 50% (Serv.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345312112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345312112,,,,,,,,
cativo_100_sales_serv,Cativo 100% (Serv.),IVA Cativo 100% - Serviços,14%(-),-14,percent,18,sale,,0,tax_group_cativo_vendas100,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 100% - Serviços,Cativo 100% (Serv.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345312112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345312112,,,,,,,,
cativo_50_sales_adiant,Cativo 50% (Adiant.),IVA Cativo 50% - Adiantamentos,7%(-),-7,percent,19,sale,,0,tax_group_cativo_vendas50,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 50% - Adiantamentos,Cativo 50% (Adiant.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345312112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345312112,,,,,,,,
cativo_100_sales_adiant,Cativo 100% (Adiant.),IVA Cativo 100% - Adiantamentos,14%(-),-14,percent,20,sale,,0,tax_group_cativo_vendas100,0,1,,,100,base,invoice,,,iva_cativo,AO,IVA,NOR,1,IVA Cativo 100% - Adiantamentos,Cativo 100% (Adiant.)
,,,,,,,,,,,,,,,100,tax,invoice,ao_345313112,,,,,,,,
,,,,,,,,,,,,,,,100,base,refund,,,,,,,,,
,,,,,,,,,,,,,,,100,tax,refund,ao_345313112,,,,,,,,
