"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","tax_group_type","name@ao"
"tax_group_iva_isento","ISENTO","base.ao","","","iva","ISENTO"
"tax_group_iva_especial_2","IVA 2%","base.ao","","","iva","IVA 2%"
"tax_group_iva_reduzido_5","IVA 5%","base.ao","","","iva","IVA 5%"
"tax_group_iva_reduzido_7","IVA 7%","base.ao","","","iva","IVA 7%"
"tax_group_iva_vendas14","IVA 14%","base.ao","","","iva","IVA 14%"
"tax_group_cativo_vendas50","IVA Cativo 50%","base.ao","","","iva","IVA Cativo 50%"
"tax_group_cativo_vendas100","IVA Cativo 100%","base.ao","","","iva","IVA Cativo 100%"
"tax_group_iva_especial_2_compras","IVA 2% C.","base.ao","","","iva","IVA 2% C."
"tax_group_iva_reduzido_5_compras","IVA 5% C.","base.ao","","","iva","IVA 5% C."
"tax_group_iva_reduzido_7_compras","IVA 7% C.","base.ao","","","iva","IVA 7% C."
"tax_group_iva_compras14","IVA 14 C.%","base.ao","","","iva","IVA 14% C."
"tax_group_cativo_compras50","IVA Cativo 50% C.","base.ao","","","iva","IVA Cativo 50% C."
"tax_group_cativo_compras100","IVA Cativo 100 C.","base.ao","","","iva","IVA Cativo 100% C."
